id,value
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.BLECHNALES.DRYOPTERIDACEAE.Dryopteris,2.846
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.BLECHNALES.DRYOPTERIDACEAE.Polystichum,1.714
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.BLECHNALES.WOODSIACEAE,3.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.BLECHNALES.WOODSIACEAE.Diplazium,2.667
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.DICKSONIALES,2.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.DICKSONIALES.DICKSONIACEAE,2.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.DICKSONIALES.DICKSONIACEAE.Culcita,2.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.MARSILEALES,1.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.MARSILEALES.MARSILEACEAE,1.083
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.MARSILEALES.MARSILEACEAE.Marsilea,1.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.MARSILEALES.MARSILEACEAE.Pilularia,1.25
PLANTAE.TRACHEOPHYTA.PSILOTOPSIDA,2.0
PLANTAE.TRACHEOPHYTA.PSILOTOPSIDA.OPHIOGLOSSALES,2.231
PLANTAE.TRACHEOPHYTA.PSILOTOPSIDA.OPHIOGLOSSALES.OPHIOGLOSSACEAE,2.231
PLANTAE.TRACHEOPHYTA.PSILOTOPSIDA.OPHIOGLOSSALES.OPHIOGLOSSACEAE.Botrychium,2.0
PLANTAE.TRACHEOPHYTA.PSILOTOPSIDA.OPHIOGLOSSALES.OPHIOGLOSSACEAE.Ophioglossum,3.0
PLANTAE.TRACHEOPHYTA.PSILOTOPSIDA.PSILOTALES,-1.0
PLANTAE.TRACHEOPHYTA.PSILOTOPSIDA.PSILOTALES.PSILOTACEAE,-1.0
