id,value
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.CHIASMODONTIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.CLINIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.CORYPHAENIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.DRACONETTIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.ECHENEIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.EPIGONIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.EPINEPHELIDAE,1.75
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.GEMPYLIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.HAEMULIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.HOWELLIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.ISTIOPHORIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.LABRIDAE,2.84
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.LOBOTIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.LUVARIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.MULLIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.NOMEIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.PHOLIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.POLYPRIONIDAE,2.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.POMACENTRIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.POMATOMIDAE,2.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.PRIACANTHIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.SCIAENIDAE,2.4
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.SCOMBRIDAE,2.727
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.SERRANIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.SPARIDAE,2.87
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.STICHAEIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.STROMATEIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.TETRAGONURIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.TRACHINIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.TRICHIURIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.TRIPTERYGIIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.URANOSCOPIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.XIPHIIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.ZOARCIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PLEURONECTIFORMES,2.861
ANIMALIA.CHORDATA.ACTINOPTERYGII.PLEURONECTIFORMES.PLEURONECTIDAE,2.7
ANIMALIA.CHORDATA.ACTINOPTERYGII.PLEURONECTIFORMES.BOTHIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PLEURONECTIFORMES.CITHARIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PLEURONECTIFORMES.CYNOGLOSSIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PLEURONECTIFORMES.SCOPHTHALMIDAE,2.714
ANIMALIA.CHORDATA.ACTINOPTERYGII.PLEURONECTIFORMES.SOLEIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SALMONIFORMES,1.071
ANIMALIA.CHORDATA.ACTINOPTERYGII.SALMONIFORMES.SALMONIDAE,1.071
ANIMALIA.CHORDATA.ACTINOPTERYGII.SCORPAENIFORMES,2.708
ANIMALIA.CHORDATA.ACTINOPTERYGII.SCORPAENIFORMES.COTTIDAE,2.619
ANIMALIA.CHORDATA.ACTINOPTERYGII.SCORPAENIFORMES.AGONIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SCORPAENIFORMES.CYCLOPTERIDAE,2.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SCORPAENIFORMES.DACTYLOPTERIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SCORPAENIFORMES.LIPARIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SCORPAENIFORMES.PSYCHROLUTIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SCORPAENIFORMES.SCORPAENIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SCORPAENIFORMES.SEBASTIDAE,2.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SCORPAENIFORMES.TRIGLIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SILURIFORMES,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SILURIFORMES.SILURIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SYNGNATHIFORMES,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SYNGNATHIFORMES.SYNGNATHIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SYNGNATHIFORMES.AULOSTOMIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.SYNGNATHIFORMES.CENTRISCIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ATELEOPODIFORMES,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ATELEOPODIFORMES.ATELEOPODIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.AULOPIFORMES,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.AULOPIFORMES.ALEPISAURIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.AULOPIFORMES.ANOTOPTERIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.AULOPIFORMES.AULOPIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.AULOPIFORMES.BATHYSAURIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.AULOPIFORMES.CHLOROPHTHALMIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.AULOPIFORMES.EVERMANNELLIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.AULOPIFORMES.IPNOPIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.AULOPIFORMES.NOTOSUDIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.AULOPIFORMES.OMOSUDIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.AULOPIFORMES.PARALEPIDIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.AULOPIFORMES.SYNODONTIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.BATRACHOIDIFORMES,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.BATRACHOIDIFORMES.BATRACHOIDIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.BELONIFORMES,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.BELONIFORMES.BELONIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.BELONIFORMES.EXOCOETIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.BELONIFORMES.HEMIRAMPHIDAE,3.0
